Term,Rule,Replace with (alt term),Style rule explanation,Examples,Related link,New/Updated,Style category,Glossary definition
dropdown,Don't use,Use the following term instead: drop-down menu,,,,,"UI terminology,UI element name",
dummy,Don't use,Use the following term instead: placeholder,Offensive word (not inclusive; old terminology). Don’t use ableist language.,,,,"Inclusive language,Ableist language,Offensive language",
"easy, easily",Avoid,,Remove. These are relative terms that can be overused and can offend customers (if they don’t find the task to be easy).,,,,Databricks style,
"enable
switch
turn on
turn off",Use,,"For toggle switches, use ""enable"", ""switch"", ""turn on"", or ""turn off"" with the name of the toggle or command to describe what the customer must do.

Don’t use ""toggle"" as a verb. It's OK to use as a noun or adjective (for example, toggle key or toggle switch).","Correct: Turn on the Import data option.
Correct: Enable the Import data option.
Correct: Turn off Automatically detect file type.

Incorrect: Toggle the Import data option.",,,"Databricks style,UI terminology,Industry standard terminology",
end user,Don't use,Use the following term instead: user,"Avoid ""user"" when you can. Use any of the following instead: audience, customer, person, people, employee, coworker, or you.

It's OK to use ""user"" in content for developers to distinguish the technology developer from the technology user. It's also OK to use user in content for technology professionals to distinguish the system administrator from the system users.",,,,Industry standard terminology,
ensure,Avoid,"Use the following terms instead:
check
verify",Remove or use an alternative term.,,,,Databricks style,
enter,Use,,"Use ""enter"" to describe the action of typing something, or to add data to a database.","Correct: Enter the file name.

Incorrect: Type the file name.",,,"Databricks style,UI terminology,MSTP",
execute,Don't use,Use the following term instead: run,"Offensive word (not inclusive; old terminology). Don’t use violent, militaristic, or profane language.",,,,"Inclusive language,Offensive language",
file name,Don't use,Use the following term instead: filename,,,,,Industry standard terminology,
futureproof,Don't use,Use the following term instead: long-term,Remove/rewrite. Don’t use marketing jargon.,,,,Databricks style,
Gaussian distribution,Use,,Title case first word.,,,,Industry standard terminology,
generally,Don't use,,"Don’t use ""generally."" It’s unnecessary and can cause confusion.",,,,Databricks style,
GitHub,Use,,One word and mixed case.,,,,3rd-party product/feature,
Glow,Use,,One word and title case.,,,,3rd-party product/feature,
GlowGR,Use,,One word and mixed case.,,,,3rd-party product/feature,
go to,Use,,,,,,"Databricks style,UI terminology",
guide,Don't use,,"Don’t use guide to refer a high-level node in the documentation website. It implies a self-contained content collection, which doesn’t accurately reflect the web-based customer experience on the doc website. It doesn’t provide a strong customer intent. Instead, focus on the customer intent that applies to the section.",,,,Databricks style,
Hadoop,Use,,One word and title case.,,,,3rd-party product/feature,
hamburger menu,Use,,Use to refer to the visual menu style that has three horizontal bars of equal width.,,https://databricks.atlassian.net/wiki/spaces/docstyle/pages/2916549408/A-Z+word+list#Menu-icon-names,,"UI terminology,UI element name,Industry standard terminology",
hang,Don't use,"Use the following terms instead:
stops responding
suspended
incomplete
doesn’t complete
doesn’t resolve
fail/failing/failed","Offensive word (not inclusive; old terminology). Don’t use violent, militaristic, or profane language.",,,,"Inclusive language,Offensive language",
"have to
need to
should",Don't use,"Use the following terms instead:
must
we recommend","These terms are ambiguous and difficult to translate. The alternative terms are more precise.
If you must use the term ""should"", explain why the user should or should not do this.","Correct: You must add new permissions.

Incorrect: You will need to add new permissions.
Incorrect: You have to add the permission.
Incorrect: You should add new permissions.",,,Databricks style,
"his or her
he or she
he/she
s/he",Don't use,"Use the following terms instead:
they
their
them","Avoid gendered language. It's OK to use gendered terms if they’re in UI text, error messages, or code that you can’t change. If possible, work with the engineering and design teams to change the term in the UI.",,,,"Databricks style,Inclusive language,Industry standard terminology,English grammar rule",
hit,Don't use,Use the following term instead: press,"Offensive word (not inclusive; old terminology). Don’t use violent, militaristic, or profane language.",,,,"Inclusive language,Offensive language",
Home folder,Use,,Two words and mixed casing.,,,,"UI terminology,UI element name",
Horovod,Use,,One word and title case.,,,,3rd-party product/feature,
host name,Don't use,Use the following term instead: hostname,"We follow Google style for this term, which is different from Microsoft style.",,https://developers.google.com/style/word-list#hostname,,"Databricks style,Industry standard terminology,Google style",
hostname,Use,,One word.,,https://developers.google.com/style/word-list#hostname,,"Databricks style,Industry standard terminology,Google style",
hyphenation - prefixes,Don't use,,"We follow the Microsoft style guide, which calls for omitting hyphens after the following common prefixes (unless omitting the hyphen could confuse the reader):
auto
co
cyber
exa
giga
kilo
mega
micro
multi
non
pre
re
sub
tera
un

Use a hyphen between a prefix and a stem word if a confusing word results without the hyphen (for example, ""non-native"") or if the stem word begins with a capital letter (for example, ""non-XML"").",,https://learn.microsoft.com/en-us/style-guide/punctuation/dashes-hyphens/hyphens#prefixes,,"Databricks style,Industry standard terminology,MSTP,English grammar rule",
ID,Use,,"Not ""Id"" or ""id,"" except in string literals or enums. In some contexts, it's best to spell out as ""identifier (ID)"" or ""identification (ID)"".",,,,Databricks style,
innovative,Don't use,,"Don’t use marketing jargon. Instead, describe how this product or feature is different or new, and why it's unique.",,,,Databricks style,
input,Don't use,Use the following term instead: enter,"Don't use ""input"" as a verb.","Correct: Enter the data.

Incorrect: Input the data.",https://learn.microsoft.com/en-us/style-guide/a-z-word-list-term-collections/i/input,,"Databricks style,UI terminology,MSTP",
insane,Don't use,Use the following term instead: complicated,Offensive word (not inclusive; old terminology). Don’t use ableist language.,,,,"Inclusive language,Ableist language,Offensive language",
interactions with UI,Use,,Go to the Related link column to find style guidance for interactions with UI.,,https://databricks.atlassian.net/wiki/spaces/docstyle/pages/edit-v2/2916549408#Describing-interactions-with-UI,,"Databricks style,UI terminology,Google style,MSTP",
invade,Don't use,Use the following term instead: breach,"Offensive word (not inclusive; old terminology). Don’t use violent, militaristic, or profane language.",,,,Inclusive language,
invalid,Don't use,Use the following term instead: not valid,"Use ""not valid"", not ""invalid"" because ""invalid"" has more than one meaning, one of which is ableist language (that is, “a person made weak or disabled by illness or injury”) and it is hard to translate correctly.",,,,"Inclusive language,Localization,Ableist language,Offensive language",
"it
it's",Use,,"The term ""it's"" is the contraction meaning ""it is"" or ""it has"".

The term ""its"" is a possessive form meaning ""belonging to it"".","Correct: It’s easier to see the clustering and sorting behavior when you choose fewer partitions.

Correct: Drop the schema and its tables.",https://www.grammarly.com/blog/its-vs-its/,,English grammar rule,
kebab menu,Use,,"Use to refer to the visual menu style that has 3 vertical dots.
- On first mention: the kebab menu (also known as the three-dot menu or vertical three-dot menu).
- On subsequent mention: the kebab menu",,https://databricks.atlassian.net/wiki/spaces/docstyle/pages/2916549408/A-Z+word+list#Menu-icon-names,,"UI terminology,UI element name,Industry standard terminology",
Keras,Use,,One word and title case.,,,,3rd-party product/feature,
"kill
abort",Don't use,"Use the following terms instead:
stop
cancel
terminate
end
close","Offensive word (not inclusive; old terminology). Don’t use violent, militaristic, or profane language.",,,,"Inclusive language,Offensive language",
Koalas,Use,,One word and title case.,,,,3rd-party product/feature,
Lambda,Use,,One word and title case.,,,,3rd-party product/feature,
large language model (LLM),Use,,Lowercase.,,,,Industry standard terminology,
leading edge,Don't use,,"Don’t use marketing jargon. Instead, describe how this product or feature is different or new, and why it's unique.",,,,Databricks style,
"left nav
left navigation pane
menu on the left-hand side",Don't use,Use the following term instead: sidebar,,,,,"UI terminology,UI element name",
legacy,Use,,"OK to use to refer to legacy feature/product
that is still available and a new version has been released. Use parentheses and lowercase after the feature/product name: (legacy)",AI Gateway Mosaic AI Gateway (legacy),,,,
less,Don't use,Use the following term instead: fewer,"Use ""fewer"" when comparing countable objects. Fewer is a more precise term and is easier for machine translation services to translate correctly.","Correct: count returned to original value (10 fewer)

Incorrect: count returned to original value (10 less)",,,"Databricks style,Localization",
leverage,Don't use,Use the following term instead: use,,,,,Databricks style,
Linux,Use,,One word and title case.,,,,3rd-party product/feature,
Linux Foundation,Use,,Title capitalization.,,,,3rd-party product/feature,
"log in (verb)
log out (verb)
sign in (verb)
sign out (verb)

login (noun, adjective)
logout (noun, adjective)
sign-in <noun> (adjective)
sign-out <noun> (adjective)",Use,,"log in & log out (verbs)
Databricks style is: Use ""log in"" or ""log out"" to refer to logging in or out of Databricks. This goes against the current industry standard terminology for cloud-based services. The industry standard is ""sign in "" or ""sign out"" (AWS, Microsoft, and Google). Use ""log in to,"" not ""log into."" Don't use ""log on"" or ""log off.""

sign in & sign out (verbs)
It's OK if you use ""sign in"" or ""sign out"" to refer to signing in or out of a cloud provider or other software because that's the industry standard terminology.

login, logout, logon (noun or adjective)
Avoid using ""login"" or ""logout"" as a noun or adjective. Use the label of the dialog or window that you're talking about logging in or out of instead. Do not hyphenate ""login"" or ""logout"" when you use them as nouns or adjectives. Don't use ""logon.""

sign-in, sign-out (noun or adjective)
Avoid using ""sign-in"" or ""sign-out"" as a noun or adjective. Use the label of the dialog or window that you're talking about signing in to or out of instead. Always hyphenate ""sign-in"" or ""sign-out"" and include the noun your modifying when you use them as nouns or adjectives (for example, ""sign-in dialog"" or ""sign-out page""). Don't use ""signin"", ""sign on"", or ""signon.""","Correct:
Log in to your Databricks account.
Log out of your Databricks account.
Sign in to your AWS account.
Sign out of your AWS account.
In the ""Sign in to your account"" dialog, type your admin account password.

Avoid, but OK:
In the login dialog, type your admin account password.
On the sign-in page, type your admin account password.

Incorrect:
Log-in to your Databricks account.
Log into your Databricks account.
Logout of your Databricks account.
Sign-in to your AWS account.
Close the signout dialog.",https://developers.google.com/style/word-list#sign-in,,Databricks style,
"logon
log on
log off
signin
sign on
signon",Don't use,"Use the following terms instead:
login (noun or adjective)
log in (verb)
log out (verb)
sign in (verb)
sign out (verb)","See guidance in this list for for log in, log out, sign in, and sign out.","Correct: Log in to your Databricks account.
Correct: On the login page, type your admin account password.",,,Databricks style,
machine learning (ML),Use,,"Lowercase. Use ""ML"" on subsequent mention.",,,,Industry standard terminology,
make sure,Don't use,"Use the following terms instead:
check
verify","Don’t use. Remove or use an alternative term, like ""verify"" or ""check.""",,,,Databricks style,
"man
mankind
man-hours",Don't use,"Use the following terms instead:
human
humankind
people
person-hours",Not inclusive; old terminology.,,,,Inclusive language,
Managed MLflow,Use,,Two words and mixed case.,,,,3rd-party product/feature,
"master
slave
master/slave",Don't use,"Use the following terms instead:
main
mainline
primary/secondary (instead of master/slave)","Not inclusive; old terminology.

Exception: OK in some very few instances where you have to match UI, error messages, code, or output. Ideally, we should work with the product team to get it changed.",,,,"Inclusive language,Offensive language",
may,Avoid,"Use the following terms instead:
can
might","To convey possibility, use ""can"" or ""might."" To convey permission, use ""can.""
Avoid ""may"" because it can be ambiguous and implies permission. In general, reserve ""may"" for official policy or legal considerations.",,,,"Databricks style,Localization",
meatballs menu,Use,,Use to refer to the visual menu style that has 3 horizontal dots.,,https://databricks.atlassian.net/wiki/spaces/docstyle/pages/2916549408/A-Z+word+list#Menu-icon-names,,"UI terminology,UI element name,Industry standard terminology",
MLflow,Use,,One word and mised case.,,,,3rd-party product/feature,
MLOps,Use,,,,,,Industry standard terminology,
native,Don't use,Use the following term instead: built-in,Offensive word (not inclusive; old terminology).,,,,"Inclusive language,Offensive language",
natural language processing (NLP),Use,,,,,,Industry standard terminology,
note that,Don't use,,Remove. It's unnecessary.,"Correct: Changes in blood chemistry may have side effects.

Incorrect: Note that changes in blood chemistry may have side effects.",,,Databricks style,
notebook,Use,,One word and lowercase.,,,,"Databricks style,UI terminology,UI element name",
of,Use,,"Use ""of"" even if it doesn’t seem necessary and the content is grammatically correct. Prepositions like of are helpful to ESL readers and translation tools.","Correct: All of the user’s applications

Incorrect: All the user’s applications",,,"Databricks style,Localization,English grammar rule",
"off-prem/offprem
on-prem/onprem",Don't use,"Use the following terms instead:
off-premises
on-premises",Always use full term spelled out.,,https://learn.microsoft.com/en-us/style-guide/a-z-word-list-term-collections/term-collections/cloud-computing-terms,,"Databricks style,Industry standard terminology",
on demand,Use,,"Two words. Hyphenate ""on-demand"" when you're modifying a noun (for example, on-demand jobs""). Don't use ""ondemand.""",,,,Industry standard terminology,
on site/on-site,Don't use,Use the following term instead: onsite,One word and no hyphen.,,,,Industry standard terminology,
"once
(as a synonym for ""after"" or ""when"")",Don't use,"Use the following terms instead:
after
when","Avoid using ""once"" as a synonym for ""after"" or ""when."" Use ""after"" or ""when"" instead because it’s more precise.

The term ""once"" has multiple meanings. For example, it can mean: after, when, as soon as, at some time in the past, on one occasion, or for one time only.",,,,"Databricks style,Localization",
only,Use,,"Take care when using only as a modifier. Place only next to the noun, subject, verb, or phrase you want to modify.","Correct: You can only access Spark using the DataFrame API.
Incorrect: You can access Spark only using the DataFrame API.

Correct: Access Control is available only in…
Incorrect: Access Control is only available in…",https://dictionary.cambridge.org/us/grammar/british-grammar/only,,English grammar rule,
"page
page <Name>",Use,,"One word and lowercase. If there is a page name, match the casing in the UI and include the descriptor ""page.""","On the Experiments page, ....",,,"UI terminology,UI element name",
"page, as reference to page on docs.databricks.com",Use,,"Use ""page"" to refer to pages on docs.databricks.com. Page is less likely to be mistranslated and more in line with our tone and voice guidelines (less formal).

Legacy content uses ""article"" to refer to pages on docs.databricks.com, which is overly formal, old-school terminology. In addition, it could be mistranslated.",,,,Databricks style,
pandas,Use,,,,,,Industry standard terminology,
"pane
<Name> pane",Use,,"One word and lowercase. If there is a page name, match the casing in the UI and include the descriptor ""page.""","In the Details pane, ...",,New,"UI terminology,UI element name",
panel,Don't use,Use the following term instead: pane,,,,New,"UI terminology,UI element name",
paradigm shift,Don't use,,"Don’t use marketing jargon. Instead, describe how this product or feature is different or new, and why it's unique.",,,,Databricks style,
pass-through,Don't use,Use the following term instead: passthrough,"One word, no hyphen.",,,,Databricks style,
personal access token,Use,,Lowercase and spell out on first instance,,,,"Databricks style,Glossary term,Industry standard terminology",A personal access token (PAT) is a string of characters that can be used to authenticate a user when accessing a computer system instead of the usual password.
placeholder,Use,,,,,,"Databricks style,UI terminology,Industry standard terminology,MSTP",
please,Don't use,,"Remove. It's unnecessary. In some instances, customers might perceive these terms as condescending and can inadvertently cause offense.","Correct: See XXX.

Incorrect: Please see XXX.",,,Databricks style,
plural terms in parentheses: (s) and (es),Don't use,Remove the parentheses and use the plural form.,"Don't add ""(s)"" or ""(es)"" to a singular noun to indicate that it can be singular or plural. Most of the time, use plural instead. If it's important to indicate both, use one or more. The parenthetical form causes problems in machine translation.","Correct: To add rows or columns to a table, ....
Correct: To add one or more rows or columns to a table, ....

Incorrect: To add row(s) or column(s) to a table, ....",https://learn.microsoft.com/en-us/style-guide/a-z-word-list-term-collections/s/s-es,New,"Localization,Industry standard terminology,Google style,MSTP",
"popup
pop-up
warning",Don't use,"Use the following terms instead:
alert
banner
dialog
menu","It's OK to use “warning” if it is part of the UI text.

To describe a window that appears and asks for, or presents, additional information, use ""dialog"".

To describe a menu that rises from an interface (such as a right-click context menu), use ""menu"".",,https://developers.google.com/style/word-list#sign-in,,"UI terminology,UI element name,Industry standard terminology",
PostgreSQL,Use,,One word and mised case.,,,,3rd-party product/feature,
"prepositions: ""on"" vs. ""in""",Use,,"Use the preposition ""on"" with the following:
cloud platform (specific)
dashboard
Databricks platform
menu
page
sidebar
tab
toolbar
web

Use the preposition ""in"" with the following:
cloud (generic)
console
Databricks environment
dialog
field
list
pane
service
window","Creating compute clusters on AWS

On the dashboard you created…

use MLOps on the Databricks platform…

On the File menu…

On the Edit page…

On the sidebar…

On the Compute tab…

On the notebook toolbar…

…available on the web at…

Create and run virtual servers in the cloud

In the account console…

Store your data in Databricks

In the Advanced configurations dialog…

In the Region field…

In the IP access list…

In the Configuration pane…

In Amazon EC2… (or “with Amazon EC2”)

If there is only one row in the window…",,,"Databricks style,UI terminology",
press,Use,,"Use ""press"" to describe pressing keys on a keyboard.",,,,"Databricks style,UI terminology,MSTP",
"proceed
navigate",Don't use,Use the following term instead: go to <page or UI>,"The preferred terminology ""go to"" is simpler and easier to translate.",,,,"Databricks style,UI terminology,MSTP",
provides,Avoid,Use the following term instead: has,,,,,Databricks style,
PySpark,Use,,One word and mised case.,,,,3rd-party product/feature,
PyText,Use,,One word and mised case.,,,,3rd-party product/feature,
Python,Use,,One word and title case.,,,,3rd-party product/feature,
Python wheel,Use,,"Always use full term ""Python wheel"" so that machine translation services translate the term correctly.",,,,"Databricks style,Localization",
PyTorch,Use,,One word and mised case.,,,,3rd-party product/feature,
quotes,Don't use,Use the following term instead: quotation marks,The full term is more precise and better for localization.,,,,"Databricks style,Localization",
Redash,Use,,One word and title case.,,,,3rd-party product/feature,
repo,Don't use,Use the following term instead: repository.,,,https://developers.google.com/style/word-list#repo,New,"Localization,Industry standard terminology,Google style",
repository,Use,,One word and don't abbreviate.,,https://developers.google.com/style/word-list#repo,New,"Localization,Industry standard terminology,Google style",
revolutionary,Don't use,,"Don’t use marketing jargon. Instead, describe how this product or feature is different or new, and why it's unique.",,,,Databricks style,
sanity-check,Don't use,Use the following term instead: final check for completeness,Offensive word (not inclusive; old terminology),,,,"Inclusive language,Ableist language,Offensive language",
Scala,Use,,One word and title case.,,,,3rd-party product/feature,
seamless,Don't use,,"Don’t use marketing jargon. Instead, describe how this product or feature is different or new, and why it's unique.",,,,Databricks style,
select,Use,,"For checkboxes or other multiselect options in the UI, use ""select"" and ""clear"" to describe selecting or deselecting an option.
Use ""click"" for menus, buttons, and links.
Don’t use any of the following: choose, toggle, select/deselect, turn on/turn off, mark/unmark, or check/uncheck.","Correct: Select the items in the list that you want to copy.
Correct: Select the Read only checkbox.

Incorrect: Clear the Read only checkbox.",,,"Databricks style,UI terminology,Industry standard terminology",
sidebar,Use,,One word and lowercase.,,,New,"UI terminology,UI element name",
simply,Don't use,,Remove. It's unnecessary.,"Correct: Click and drag notebooks, dashboards, libraries, and folders to move them into another folder.

Incorrect: Simply click and drag notebooks, dashboards, libraries, and folders to move them into another folder.",,,Databricks style,
Spark,Use,,One word and title case.,,,,3rd-party product/feature,
sparklyr,Use,,Lowercase.,,,,3rd-party product/feature,
SparkR,Use,,One word and mised case.,,,,3rd-party product/feature,
SQL,Use,,"Treat ""SQL"" as an acronym pronounced “sequel” and use the indefinite article ""a"":
a SQL database.",,https://learn.microsoft.com/en-us/style-guide/a-z-word-list-term-collections/s/sql-sql-server,,"Databricks style,MSTP",
"SQL, articles usage",Use,,"Use ""a"" (not ""an"") with ""SQL"" in all instances.","a SQL warehouse
a SQL database",,,"Databricks style,Industry standard terminology",
Structured Streaming,Use,,Two words and title case.,,,,3rd-party product/feature,
tab,Use,,,,,,"UI terminology,UI element name",
TensorFlow,Use,,One word and mised case.,,,,3rd-party product/feature,
thank you,Don't use,,"Remove. It's unnecessary. In some instances, customers might perceive these terms as condescending and can inadvertently cause offense.",,,,Databricks style,
"that
which",Use,,"Rules for ""that"":
- Use ""that"" at the beginning of a clause that is necessary for the sentence to make sense.
- Include ""that"" even if the sentence is clear without it because it helps to clarify the sentence structure, increases comprehension for ESL readers, and makes it easier to translate in to other languages.
- Don’t put a comma before ""that"".

Rules for ""which"":
- Use ""which"" at the beginning of a clause that adds supporting or parenthetical information.
- If you can omit the clause and the sentence still makes sense, use ""which"".
- Put a comma before ""which"".","Correct: She held out the hand that was hurt.

Correct: She held out her hand, which Rob shook.",https://www.thoughtco.com/uses-of-that-1210017,,English grammar rule,
the user should,Don't use,Use the following language instead: we recommend that the user,,,,,Databricks style,
tile,Use,,,,,,"UI terminology,UI element name",
timestamp,Use,,One word.,,,,"Industry standard terminology,MSTP",
type (to describe the action of typing something),Don't use,Use the following term instead: enter,,"Correct: Enter the file name.

Incorrect: Type the file name.",,,"Databricks style,UI terminology,MSTP",
U.S.,Use,,,,,,Industry standard terminology,
unified analytics,Use,,Lowercase.,,,,Industry standard terminology,
unique,Avoid,,"Don’t use marketing jargon to describe a product/feature/functionality as ""unique"". Instead, describe how this product or feature is different or new, and why it's unique.
OK to use in specific contexts, like ""unique ID,"" ""unique name,"" etc.",,,,Databricks style,
up to date vs. up-to-date,Use,,"You can use the phrase ""up to date"" as an adjective or adverb, and you hyphenate it as ""up-to-date"" depending on how you're using it:
As an adjective: When used as an adjective, ""up to date"" is usually not hyphenated if it comes after a noun. For example, ""My calendar is up to date"". However, if it comes before a noun, it should be hyphenated to form the compound adjective ""up-to-date"". For example, ""We bring you the most up-to-date news"".
As an adverb: When used as an adverb, ""up to date"" is not hyphenated.
""Up to date"" means having the latest information or being based on the newest information. Some synonyms of ""up to date"" include ""informed about"", ""up on"", ""aware of"", and ""in touch with"".",,,,English grammar rule,
user name,Don't use,username,"Exception: OK to use ""user name"" if you need to match the UI text or code.",,,,Industry standard terminology,
username,Use,,One word.,,,,"UI terminology,UI element name,Industry standard terminology",
utilize,Don't use,Use the following term instead: use,,,,,,
want,Use,,"Use instead of ""wish"" or ""desire"". Don't use ""want"" when you mean ""need"", which indicates a requirement or obligation.",,,,Databricks style,
webpage,Use,,One word.,,,,"Industry standard terminology,MSTP",
website,Use,,One word.,,,,"Industry standard terminology,MSTP",
white space,Use,,Two words.,,,,"Industry standard terminology,MSTP",
whitelist,Don't use,Use the following term instead: allowlist,"Offensive word (not inclusive; old terminology). Don’t use biased language.

It's OK to use ""whitelist"" if it’s in the UI text, error message, or code that you can’t change. If possible, work with the engineering and design teams to change the term in the UI.",,,,"Inclusive language,Offensive language",
widget,Use,,Lowercase.,,,,"UI terminology,UI element name,Industry standard terminology",
within,Don't use,Use the following term instead: in,"Use ""in <app/product>,"" not ""within <app/product>.""",,,,Databricks style,
XGBoost,Use,,One word and mised case.,,,,3rd-party product/feature,
you can,Avoid,"Depending on the context, remove and rewrite to describe the action.","It's OK in some instances. Depending on the context, it can be unnecessarily wordy. When you see ""you can"" in your writing, consider deleting it. ""You can"" implies ability, not action. Rewrite to describe the action if possible.","Incorrect: You can do this during table creation:

Correct: To do this during table creation, use the following example:

Correct: You can use all <Databricks> compute types and task types to configure incremental batch ingestion.

Correct: Databricks does not provide any native tools for downloading data from the internet, but you can use open source tools in supported languages.",https://learn.microsoft.com/en-us/style-guide/a-z-word-list-term-collections/c/can-may,,"Databricks style,MSTP",
you should,Don't use,Use the following language instead: we recommend that you,,,,,Databricks style,
on (vs. in),Use,,"Use “on” as a preposition with:MenusTabsTaskbar, toolbar, ruler, and desktopDisks, in the sense of a program being on a diskNetworksHardware platformsThe webIn COM programming, an interface is implemented on an object.",,,,,
,,,,,,,,
,,,,,,,,
