slug	category	cohort	lines	h1	h2_count	numbered_sections	table_rows	code_blocks	hex_count	oklch_count	never_count	always_count	non_negotiable_count	has_yaml_front_matter	has_manifest	has_tokens_css	has_usage_md	has_components_html	has_preview	visual_theme	color	typography	components	layout	depth	donts	responsive	agent_guide	motion	voice	accessibility	iconography	data_viz	h2_headings
mastercard	Fintech & Crypto	other	369	Design System Inspired by Mastercard	9	9	31	0	51	0	10	6	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
material	Professional & Corporate	other	72	Design System Inspired by Material	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	true	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
meta	E-Commerce & Retail	other	370	Design System Inspired by Meta (Store)	9	9	48	0	88	0	0	2	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
minimal	Modern & Minimal	other	72	Design System Inspired by Minimal	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
minimax	AI & LLM	dev-friendly	261	Design System Inspired by MiniMax	9	9	33	0	54	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
mintlify	Productivity & SaaS	dev-friendly	330	Design System Inspired by Mintlify	9	9	31	0	59	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	false	true	true	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Dark Mode | 8. Responsive Behavior | 9. Agent Prompt Guide
miro	Design & Creative	dev-friendly	112	Design System Inspired by Miro	9	9	13	0	33	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
mission-control	Developer Tools	dev-friendly	476	Mission Control Design System	9	9	47	16	48	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	false	true	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
mistral-ai	AI & LLM	dev-friendly	265	Design System Inspired by Mistral AI	9	9	21	0	57	0	3	3	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
modern	Modern & Minimal	other	72	Design System Inspired by Modern	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
mongodb	Backend & Data	dev-friendly	270	Design System Inspired by MongoDB	9	9	33	0	70	0	1	2	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
mono	Modern & Minimal	other	72	Design System Inspired by Mono	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
neobrutalism	Bold & Expressive	other	72	Design System Inspired by Neobrutalism	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
neon	Morphism & Effects	other	72	Design System Inspired by Neon	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
neumorphism	Morphism & Effects	other	72	Design System Inspired by Neumorphism	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
nike	E-Commerce & Retail	other	367	Design System Inspired by Nike	9	9	50	0	102	0	2	3	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
notion	Productivity & SaaS	dev-friendly	313	Design System Inspired by Notion	9	9	34	0	67	0	4	1	0	false	true	true	true	true	true	true	true	true	true	true	true	false	true	true	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Responsive Behavior | 8. Accessibility & States | 9. Agent Prompt Guide
nvidia	Media & Consumer	other	297	Design System Inspired by NVIDIA	9	9	36	0	96	0	3	2	0	false	true	true	true	true	true	true	true	true	true	true	true	false	true	true	true	true	true	true	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Responsive Behavior | 8. Responsive Behavior (Extended) | 9. Agent Prompt Guide
ollama	AI & LLM	dev-friendly	271	Design System Inspired by Ollama	9	9	24	0	45	0	4	6	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
openai	AI & LLM	dev-friendly	147	Design System Inspired by OpenAI	7	7	12	0	42	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Spacing & Layout | 6. Motion | 7. Usage Guardrails
opencode-ai	AI & LLM	dev-friendly	285	Design System Inspired by OpenCode	9	9	19	0	90	0	2	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Interaction & Motion | 8. Responsive Behavior | 9. Agent Prompt Guide
pacman	Themed & Unique	other	72	Design System Inspired by Pacman	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
paper	Retro & Nostalgic	other	72	Design System Inspired by Paper	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
perplexity	AI & LLM	dev-friendly	287	Design System Inspired by Perplexity AI	9	9	69	6	22	13	5	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	false	true	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
perspective	Layout & Structure	other	72	Design System Inspired by Perspective	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
pinterest	Media & Consumer	other	234	Design System Inspired by Pinterest	9	9	22	0	61	0	2	3	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
playstation	Media & Consumer	other	368	Design System Inspired by PlayStation	9	9	45	0	95	0	7	1	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
posthog	Backend & Data	dev-friendly	260	Design System Inspired by PostHog	9	9	34	0	90	0	2	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
premium	Professional & Corporate	other	72	Design System Inspired by Premium	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
professional	Professional & Corporate	other	72	Design System Inspired by Professional	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
publication	Creative & Artistic	other	72	Design System Inspired by Publication	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
raycast	Developer Tools	dev-friendly	272	Design System Inspired by Raycast	9	9	33	0	62	0	0	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
refined	Modern & Minimal	other	72	Design System Inspired by Refined	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
renault	Automotive	other	315	Design System Inspired by Renault	9	9	45	0	59	0	2	1	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
replicate	AI & LLM	dev-friendly	265	Design System Inspired by Replicate	9	9	21	0	53	0	3	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
resend	Productivity & SaaS	dev-friendly	307	Design System Inspired by Resend	9	9	34	0	50	0	2	0	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
retro	Retro & Nostalgic	other	72	Design System Inspired by Retro	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
revolut	Fintech & Crypto	other	189	Design System Inspired by Revolut	9	9	24	0	47	0	1	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
runwayml	AI & LLM	dev-friendly	248	Design System Inspired by Runway	9	9	24	0	41	0	3	2	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
sanity	Backend & Data	dev-friendly	361	Design System Inspired by Sanity	9	9	56	1	130	0	1	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
sentry	Backend & Data	dev-friendly	266	Design System Inspired by Sentry	9	9	40	0	76	0	2	2	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
shadcn	Modern & Minimal	other	72	Design System Inspired by Shadcn	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
shopify	E-Commerce & Retail	other	354	Design System Inspired by Shopify	9	9	59	0	69	0	1	1	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
simple	Modern & Minimal	other	72	Design System Inspired by Simple	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
skeumorphism	Morphism & Effects	other	72	Design System Inspired by Skeumorphism	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
slack	Productivity & SaaS	dev-friendly	364	Design System Inspired by Slack	9	9	76	8	75	0	2	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
sleek	Modern & Minimal	other	72	Design System Inspired by Sleek	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
spacex	Media & Consumer	other	198	Design System Inspired by SpaceX	9	9	23	0	11	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
spacious	Layout & Structure	other	72	Design System Inspired by Spacious	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
spotify	Media & Consumer	other	250	Design System Inspired by Spotify	9	9	32	0	68	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
starbucks	E-Commerce & Retail	other	584	Design System Inspired by Starbucks	9	9	45	0	89	0	8	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
storytelling	Creative & Artistic	other	72	Design System Inspired by Storytelling	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
stripe	Fintech & Crypto	other	326	Design System Inspired by Stripe	9	9	36	0	91	0	2	3	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
supabase	Backend & Data	dev-friendly	259	Design System Inspired by Supabase	9	9	26	0	87	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
superhuman	Developer Tools	dev-friendly	256	Design System Inspired by Superhuman	9	9	33	0	51	0	2	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
tesla	Automotive	other	290	Design System Inspired by Tesla	9	9	28	0	35	0	2	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
tetris	Themed & Unique	other	72	Design System Inspired by Tetris	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
theverge	Media & Consumer	other	343	Design System Inspired by The Verge	9	9	42	0	107	0	9	3	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
together-ai	AI & LLM	dev-friendly	267	Design System Inspired by Together AI	9	9	24	0	34	0	4	7	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
tom-modern	Starter	other	362	Tom Modern Design	9	9	48	5	31	0	3	0	0	false	true	true	false	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
totality-festival	Themed & Unique	other	207	Design System Inspired by Totality Festival	8	8	0	0	57	0	2	0	0	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Layout & Spacing | 5. Elevation & Depth | 6. Shapes | 7. Components | 8. Do's & Don'ts
trading-terminal	Themed & Unique	other	178	Trading Terminal Design System	9	9	23	5	30	0	1	2	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
uber	Media & Consumer	other	299	Design System Inspired by Uber	9	9	27	0	53	0	5	2	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
urdu	Editorial / Personal / Publication	other	1002	Urdu Modern (Indus Script System)	14	9	50	35	41	0	5	7	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette (Cultural Modernism) | 3. Typography (The Heart of the System) | 4. Spacing & Layout Grid | 5. Component Styles | 6. Motion & Animation | 7. Accessibility (A11y) | 8. Brand Voice & Tone | 9. Anti-Patterns (Do NOT) | Quick Start: RTL Bilingual Component | How the AI Agent Should Use This System | Design System Metadata (For OD Daemon) | Resources & References | Version History
vercel	Developer Tools	dev-friendly	314	Design System Inspired by Vercel	9	9	37	0	65	0	1	2	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
vibrant	Bold & Expressive	other	72	Design System Inspired by Vibrant	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
vintage	Retro & Nostalgic	other	72	Design System Inspired by Vintage	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
vodafone	Media & Consumer	other	427	Design System Inspired by Vodafone	9	9	64	0	60	0	3	5	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
voltagent	AI & LLM	dev-friendly	327	Design System Inspired by VoltAgent	9	9	32	0	96	0	3	2	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
warm-editorial	Starter	other	66	Warm Editorial	9	0	0	0	6	0	3	0	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	false	Visual Theme & Atmosphere | Color Palette & Roles | Typography Rules | Component Stylings | Layout Principles | Depth & Elevation | Do's and Don'ts | Responsive Behavior | Agent Prompt Guide
warp	Developer Tools	dev-friendly	257	Design System Inspired by Warp	9	9	32	0	39	0	1	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
